record_id,lead,disease_class,query_lead,matched,p_onset_pred,p_onset_err_ms,p_peak_pred,p_peak_err_ms,p_offset_pred,p_offset_err_ms,qrs_onset_pred,qrs_onset_err_ms,q_peak_pred,q_peak_err_ms,r_peak_pred,r_peak_err_ms,s_peak_pred,s_peak_err_ms,qrs_offset_pred,qrs_offset_err_ms,t_onset_pred,t_onset_err_ms,t_peak_pred,t_peak_err_ms,t_offset_pred,t_offset_err_ms
AnteriorInfarction_003,V3,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,614.0,-2.0,637.0,0.0,668.0,,672.0,44.0,674.0,38.0,768.0,0.0,855.0,2.0
AnteriorInfarction_003,I,AnteriorInfarction,I,1,,,,,,,606.0,-8.0,,,613.0,-36.0,,,673.0,46.0,675.0,2.0,747.0,0.0,855.0,-4.0
AnteriorInfarction_003,II,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,,,616.0,-28.0,,,673.0,46.0,675.0,2.0,748.0,-2.0,855.0,-6.0
AnteriorInfarction_003,III,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,,,616.0,-14.0,637.0,0.0,673.0,46.0,674.0,38.0,749.0,0.0,855.0,-2.0
AnteriorInfarction_003,aVR,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,630.0,0.0,,,,,672.0,44.0,674.0,38.0,748.0,0.0,855.0,138.0
AnteriorInfarction_003,V1,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,,,612.0,-60.0,626.0,-56.0,674.0,48.0,676.0,4.0,775.0,42.0,856.0,-42.0
AnteriorInfarction_003,V2,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,,,608.0,-58.0,619.0,-74.0,673.0,46.0,675.0,-36.0,768.0,-2.0,856.0,-14.0
AnteriorInfarction_003,V4,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,614.0,0.0,634.0,0.0,,,672.0,44.0,674.0,38.0,746.0,0.0,855.0,58.0
AnteriorInfarction_003,V5,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,612.0,0.0,630.0,0.0,,,674.0,48.0,676.0,-60.0,760.0,0.0,857.0,-54.0
AnteriorInfarction_003,V6,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,612.0,0.0,630.0,0.0,638.0,0.0,672.0,44.0,674.0,-22.0,755.0,0.0,855.0,44.0
AnteriorInfarction_003,aVL,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,620.0,0.0,636.0,0.0,673.0,,673.0,46.0,674.0,38.0,750.0,0.0,855.0,-2.0
AnteriorInfarction_003,aVF,AnteriorInfarction,I,0,,,,,,,606.0,-8.0,,,616.0,-28.0,637.0,0.0,672.0,44.0,674.0,38.0,749.0,0.0,855.0,0.0
AnteriorInfarction_004,V1,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,,,609.0,-2.0,625.0,0.0,656.0,12.0,664.0,28.0,755.0,-2.0,873.0,-2.0
AnteriorInfarction_004,I,AnteriorInfarction,I,1,,,,,,,604.0,-4.0,,,612.0,-44.0,,,655.0,10.0,664.0,-74.0,743.0,-60.0,872.0,32.0
AnteriorInfarction_004,II,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,,,624.0,0.0,,,655.0,10.0,664.0,-16.0,746.0,-2.0,872.0,190.0
AnteriorInfarction_004,III,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,,,609.0,-26.0,638.0,2.0,656.0,12.0,664.0,18.0,751.0,0.0,873.0,0.0
AnteriorInfarction_004,aVR,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,633.0,-2.0,,,,,655.0,10.0,664.0,-30.0,745.0,0.0,872.0,34.0
AnteriorInfarction_004,aVL,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,609.0,0.0,612.0,-44.0,656.0,2.0,656.0,12.0,664.0,-80.0,758.0,0.0,873.0,8.0
AnteriorInfarction_004,aVF,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,,,610.0,-26.0,639.0,-2.0,655.0,10.0,664.0,-28.0,748.0,0.0,872.0,36.0
AnteriorInfarction_004,V2,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,,,608.0,-16.0,630.0,0.0,656.0,12.0,664.0,14.0,758.0,-2.0,873.0,14.0
AnteriorInfarction_004,V3,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,613.0,-2.0,624.0,-24.0,,,655.0,10.0,664.0,-54.0,747.0,-64.0,873.0,28.0
AnteriorInfarction_004,V4,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,,,635.0,0.0,,,655.0,10.0,664.0,2.0,746.0,-56.0,872.0,34.0
AnteriorInfarction_004,V5,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,,,630.0,0.0,,,655.0,10.0,664.0,-68.0,752.0,0.0,872.0,34.0
AnteriorInfarction_004,V6,AnteriorInfarction,I,0,,,,,,,604.0,-4.0,,,624.0,0.0,634.0,-2.0,655.0,10.0,664.0,-4.0,748.0,0.0,872.0,34.0
AnteriorInfarction_005,V3,AnteriorInfarction,I,0,,,,,,,605.0,-10.0,613.0,0.0,622.0,-28.0,660.0,,660.0,14.0,662.0,-64.0,751.0,0.0,852.0,-38.0
AnteriorInfarction_005,I,AnteriorInfarction,I,1,,,,,,,605.0,-10.0,,,615.0,-32.0,,,660.0,14.0,661.0,-32.0,742.0,0.0,850.0,-10.0
AnteriorInfarction_005,II,AnteriorInfarction,I,0,,,,,,,605.0,-10.0,,,621.0,-16.0,,,660.0,14.0,662.0,14.0,747.0,0.0,852.0,-40.0
AnteriorInfarction_005,III,AnteriorInfarction,I,0,,,,,,,605.0,-10.0,,,611.0,-22.0,636.0,0.0,660.0,14.0,661.0,-28.0,752.0,-2.0,850.0,22.0
AnteriorInfarction_005,aVR,AnteriorInfarction,I,0,,,,,,,605.0,-10.0,629.0,0.0,,,,,660.0,14.0,661.0,-20.0,745.0,0.0,851.0,-18.0
AnteriorInfarction_005,aVL,AnteriorInfarction,I,0,,,,,,,605.0,-10.0,610.0,-26.0,613.0,-46.0,622.0,,660.0,14.0,662.0,14.0,758.0,0.0,852.0,-32.0
AnteriorInfarction_005,aVF,AnteriorInfarction,I,0,,,,,,,605.0,-10.0,,,621.0,-16.0,,,660.0,14.0,662.0,10.0,749.0,0.0,851.0,-32.0
AnteriorInfarction_005,V1,AnteriorInfarction,I,0,,,,,,,605.0,-10.0,,,610.0,-56.0,628.0,-50.0,660.0,14.0,662.0,-86.0,742.0,0.0,852.0,-44.0
AnteriorInfarction_003,V3,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,614.0,-2.0,637.0,0.0,668.0,,671.0,42.0,673.0,36.0,768.0,0.0,857.0,6.0
AnteriorInfarction_003,I,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,,,613.0,-36.0,,,671.0,42.0,673.0,-2.0,747.0,0.0,857.0,0.0
AnteriorInfarction_003,II,AnteriorInfarction,II,1,,,,,,,606.0,-8.0,,,616.0,-28.0,,,671.0,42.0,673.0,-2.0,748.0,-2.0,857.0,-2.0
AnteriorInfarction_003,III,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,,,616.0,-14.0,637.0,0.0,671.0,42.0,673.0,36.0,749.0,0.0,857.0,2.0
AnteriorInfarction_003,aVR,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,630.0,0.0,,,,,671.0,42.0,673.0,36.0,748.0,0.0,857.0,142.0
AnteriorInfarction_003,V1,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,,,612.0,-60.0,626.0,-56.0,673.0,46.0,674.0,0.0,775.0,42.0,857.0,-40.0
AnteriorInfarction_003,V2,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,,,608.0,-58.0,619.0,-74.0,672.0,44.0,674.0,-38.0,768.0,-2.0,857.0,-12.0
AnteriorInfarction_003,V4,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,614.0,0.0,634.0,0.0,,,671.0,42.0,673.0,36.0,746.0,0.0,857.0,62.0
AnteriorInfarction_003,V5,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,612.0,0.0,630.0,0.0,,,673.0,46.0,675.0,-62.0,760.0,0.0,857.0,-54.0
AnteriorInfarction_003,V6,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,612.0,0.0,630.0,0.0,638.0,0.0,671.0,42.0,673.0,-24.0,755.0,0.0,857.0,48.0
AnteriorInfarction_003,aVL,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,620.0,0.0,636.0,0.0,671.0,,671.0,42.0,673.0,36.0,750.0,0.0,857.0,2.0
AnteriorInfarction_003,aVF,AnteriorInfarction,II,0,,,,,,,606.0,-8.0,,,616.0,-28.0,637.0,0.0,671.0,42.0,673.0,36.0,749.0,0.0,857.0,4.0
AnteriorInfarction_004,V1,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,,,609.0,-2.0,625.0,0.0,656.0,12.0,665.0,30.0,755.0,-2.0,868.0,-12.0
AnteriorInfarction_004,I,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,,,612.0,-44.0,,,655.0,10.0,666.0,-70.0,743.0,-60.0,867.0,22.0
AnteriorInfarction_004,II,AnteriorInfarction,II,1,,,,,,,604.0,-4.0,,,624.0,0.0,,,655.0,10.0,666.0,-12.0,746.0,-2.0,867.0,180.0
AnteriorInfarction_004,III,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,,,609.0,-26.0,638.0,2.0,656.0,12.0,665.0,20.0,751.0,0.0,868.0,-10.0
AnteriorInfarction_004,aVR,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,633.0,-2.0,,,,,655.0,10.0,666.0,-26.0,745.0,0.0,867.0,24.0
AnteriorInfarction_004,aVL,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,609.0,0.0,612.0,-44.0,656.0,2.0,656.0,12.0,665.0,-78.0,758.0,0.0,868.0,-2.0
AnteriorInfarction_004,aVF,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,,,610.0,-26.0,639.0,-2.0,655.0,10.0,666.0,-24.0,748.0,0.0,867.0,26.0
AnteriorInfarction_004,V2,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,,,608.0,-16.0,630.0,0.0,655.0,10.0,665.0,16.0,758.0,-2.0,868.0,4.0
AnteriorInfarction_004,V3,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,613.0,-2.0,624.0,-24.0,,,655.0,10.0,666.0,-50.0,747.0,-64.0,867.0,16.0
AnteriorInfarction_004,V4,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,,,635.0,0.0,,,655.0,10.0,666.0,6.0,780.0,12.0,867.0,24.0
AnteriorInfarction_004,V5,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,,,630.0,0.0,,,655.0,10.0,666.0,-64.0,752.0,0.0,867.0,24.0
AnteriorInfarction_004,V6,AnteriorInfarction,II,0,,,,,,,604.0,-4.0,,,624.0,0.0,634.0,-2.0,655.0,10.0,666.0,0.0,748.0,0.0,867.0,24.0
AnteriorInfarction_005,V3,AnteriorInfarction,II,0,,,,,,,605.0,-10.0,613.0,0.0,622.0,-28.0,660.0,,660.0,14.0,662.0,-64.0,751.0,0.0,852.0,-38.0
AnteriorInfarction_005,I,AnteriorInfarction,II,0,,,,,,,605.0,-10.0,,,615.0,-32.0,,,660.0,14.0,661.0,-32.0,742.0,0.0,852.0,-6.0
AnteriorInfarction_005,II,AnteriorInfarction,II,1,,,,,,,605.0,-10.0,,,621.0,-16.0,,,660.0,14.0,662.0,14.0,747.0,0.0,852.0,-40.0
AnteriorInfarction_005,III,AnteriorInfarction,II,0,,,,,,,605.0,-10.0,,,611.0,-22.0,636.0,0.0,660.0,14.0,661.0,-28.0,752.0,-2.0,852.0,26.0
AnteriorInfarction_005,aVR,AnteriorInfarction,II,0,,,,,,,605.0,-10.0,629.0,0.0,,,,,660.0,14.0,661.0,-20.0,745.0,0.0,852.0,-16.0
AnteriorInfarction_005,aVL,AnteriorInfarction,II,0,,,,,,,605.0,-10.0,610.0,-26.0,613.0,-46.0,622.0,,660.0,14.0,662.0,14.0,758.0,0.0,852.0,-32.0
AnteriorInfarction_005,aVF,AnteriorInfarction,II,0,,,,,,,605.0,-10.0,,,621.0,-16.0,,,660.0,14.0,662.0,10.0,749.0,0.0,852.0,-30.0
AnteriorInfarction_005,V1,AnteriorInfarction,II,0,,,,,,,605.0,-10.0,,,610.0,-56.0,628.0,-50.0,660.0,14.0,662.0,-86.0,742.0,0.0,852.0,-44.0
AnteriorInfarction_003,V3,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,614.0,-2.0,637.0,0.0,668.0,,669.0,38.0,670.0,30.0,768.0,0.0,858.0,8.0
AnteriorInfarction_003,I,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,,,613.0,-36.0,,,669.0,38.0,670.0,-8.0,747.0,0.0,858.0,2.0
AnteriorInfarction_003,II,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,,,616.0,-28.0,,,669.0,38.0,670.0,-8.0,748.0,-2.0,858.0,0.0
AnteriorInfarction_003,III,AnteriorInfarction,III,1,,,,,,,606.0,-8.0,,,616.0,-14.0,637.0,0.0,669.0,38.0,670.0,30.0,749.0,0.0,858.0,4.0
AnteriorInfarction_003,aVR,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,630.0,0.0,,,,,669.0,38.0,670.0,30.0,748.0,0.0,858.0,144.0
AnteriorInfarction_003,V1,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,,,612.0,-60.0,626.0,-56.0,670.0,40.0,671.0,-6.0,775.0,42.0,858.0,-38.0
AnteriorInfarction_003,V2,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,,,608.0,-58.0,619.0,-74.0,670.0,40.0,671.0,-44.0,768.0,-2.0,858.0,-10.0
AnteriorInfarction_003,V4,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,614.0,0.0,634.0,0.0,,,669.0,38.0,670.0,30.0,746.0,0.0,858.0,64.0
AnteriorInfarction_003,V5,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,612.0,0.0,630.0,0.0,,,671.0,42.0,672.0,-68.0,760.0,0.0,859.0,-50.0
AnteriorInfarction_003,V6,AnteriorInfarction,III,0,,,,,,,606.0,-8.0,612.0,0.0,630.0,0.0,638.0,0.0,669.0,38.0,670.0,-30.0,755.0,0.0,858.0,50.0
