record_id,lead,disease_class,query_lead,matched,p_onset_pred,p_onset_err_ms,p_peak_pred,p_peak_err_ms,p_offset_pred,p_offset_err_ms,qrs_onset_pred,qrs_onset_err_ms,q_peak_pred,q_peak_err_ms,r_peak_pred,r_peak_err_ms,s_peak_pred,s_peak_err_ms,qrs_offset_pred,qrs_offset_err_ms,t_onset_pred,t_onset_err_ms,t_peak_pred,t_peak_err_ms,t_offset_pred,t_offset_err_ms
mc_avblock_test_run_S64_run_000089,V4,avblock,I,0,506.0,2.0,522.0,-30.0,555.0,2.0,614.0,-6.0,,,630.0,0.0,641.0,0.0,661.0,6.0,663.0,-20.0,743.0,0.0,787.0,8.0
mc_mi_LCX_1p0_ant_train_run_S73_run_000007,aVR,mi,I,0,533.0,12.0,556.0,2.0,568.0,16.0,593.0,-8.0,605.0,0.0,613.0,0.0,,,667.0,78.0,668.0,-28.0,734.0,0.0,797.0,40.0
mc_fam_train_run_S73_000041,III,fam,I,0,487.0,0.0,551.0,-12.0,588.0,-2.0,589.0,0.0,,,613.0,2.0,629.0,0.0,649.0,8.0,651.0,-116.0,747.0,0.0,786.0,6.0
mc_mi_LAD_0p3_train_run_S69_run_000038,V1,mi,I,0,485.0,-44.0,534.0,-4.0,562.0,0.0,579.0,36.0,590.0,2.0,599.0,0.0,609.0,0.0,627.0,-24.0,,,,,,
mc_lbbb_train_run_S74_run_000026,V6,lbbb,I,0,529.0,0.0,564.0,26.0,586.0,0.0,597.0,-4.0,,,634.0,0.0,661.0,8.0,661.0,6.0,662.0,-6.0,725.0,0.0,796.0,6.0
mc_lae_train_run_S74_000114,V4,lae,I,0,549.0,-2.0,578.0,0.0,600.0,14.0,614.0,2.0,,,626.0,-2.0,643.0,0.0,664.0,4.0,666.0,-4.0,746.0,-2.0,799.0,14.0
mc_sinus_train_run_S65_run_000068,III,sinus,I,0,547.0,0.0,571.0,-4.0,610.0,2.0,611.0,-24.0,,,633.0,-2.0,647.0,0.0,673.0,4.0,675.0,-6.0,751.0,0.0,805.0,6.0
mc_avblock_train_run_S73_run_000027,V3,avblock,I,0,497.0,-12.0,519.0,-2.0,555.0,14.0,616.0,-6.0,,,626.0,-2.0,640.0,0.0,663.0,-6.0,670.0,-28.0,753.0,0.0,795.0,14.0
mc_lae_train_run_S64_000004,aVL,lae,I,0,534.0,-10.0,574.0,0.0,592.0,6.0,601.0,-2.0,624.0,22.0,637.0,26.0,,,657.0,4.0,663.0,-2.0,750.0,0.0,799.0,8.0
mc_lae_test_run_S62_000059,V6,lae,I,0,544.0,-2.0,584.0,0.0,608.0,16.0,609.0,2.0,,,637.0,0.0,,,665.0,4.0,670.0,-4.0,744.0,-54.0,807.0,8.0
mc_avblock_train_run_S66_run_000097,II,avblock,I,0,510.0,12.0,538.0,4.0,556.0,-12.0,617.0,-18.0,,,640.0,0.0,657.0,0.0,674.0,6.0,676.0,-4.0,767.0,0.0,819.0,12.0
