record_id,lead,beat_id,disease_class,crop_start,qrs_pattern_pred,order_ok_pred,p_head_prob,seg_emits_p,qrs_anchor,anchor_in_qrs,window_end,read_end,p_onset_pred,p_onset_true,p_onset_err_ms,p_peak_pred,p_peak_true,p_peak_err_ms,p_offset_pred,p_offset_true,p_offset_err_ms,qrs_onset_pred,qrs_onset_true,qrs_onset_err_ms,q_peak_pred,q_peak_true,q_peak_err_ms,r_peak_pred,r_peak_true,r_peak_err_ms,s_peak_pred,s_peak_true,s_peak_err_ms,qrs_offset_pred,qrs_offset_true,qrs_offset_err_ms,t_onset_pred,t_onset_true,t_onset_err_ms,t_peak_pred,t_peak_true,t_peak_err_ms,t_offset_pred,t_offset_true,t_offset_err_ms,qrs_duration_err_ms,qt_interval_err_ms,t_duration_err_ms,t_peak_to_end_err_ms
AnteriorInfarction_003,V3,1,AnteriorInfarction,-606,qRs,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,8,9,-2.0,31,31,0.0,62,,,67,44,46.0,69,49,40.0,162,162,0.0,248,248,0.0,54.0,8.0,-40.0,0.0
AnteriorInfarction_003,I,1,AnteriorInfarction,-606,R,1,0.0002,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,7,25,-36.0,,,,67,44,46.0,69,68,2.0,141,141,0.0,249,251,-4.0,54.0,4.0,-6.0,-4.0
AnteriorInfarction_003,II,1,AnteriorInfarction,-606,R,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,24,-28.0,,,,66,44,44.0,68,68,0.0,142,143,-2.0,251,252,-2.0,52.0,6.0,-2.0,0.0
AnteriorInfarction_003,III,1,AnteriorInfarction,-606,RS,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,17,-14.0,31,31,0.0,64,44,40.0,65,49,32.0,143,143,0.0,252,250,4.0,48.0,12.0,-28.0,4.0
AnteriorInfarction_003,aVR,1,AnteriorInfarction,-606,QS,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,24,24,0.0,,,,,,,64,44,40.0,70,49,42.0,142,142,0.0,249,180,138.0,48.0,146.0,96.0,138.0
AnteriorInfarction_003,V1,1,AnteriorInfarction,-606,rS,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,20,,6,36,-60.0,20,48,-56.0,65,44,42.0,70,68,4.0,169,148,42.0,250,271,-42.0,50.0,-34.0,-46.0,-84.0
AnteriorInfarction_003,V2,1,AnteriorInfarction,-606,rS,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,14,,2,31,-58.0,13,50,-74.0,67,44,46.0,68,87,-38.0,162,163,-2.0,250,257,-14.0,54.0,-6.0,24.0,-12.0
AnteriorInfarction_003,V4,1,AnteriorInfarction,-606,qR,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,8,8,0.0,28,28,0.0,,,,65,44,42.0,70,49,42.0,140,140,0.0,249,220,58.0,50.0,66.0,16.0,58.0
AnteriorInfarction_003,V5,1,AnteriorInfarction,-606,qR,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,6,6,0.0,24,24,0.0,,,,68,44,48.0,70,100,-60.0,154,154,0.0,250,278,-56.0,56.0,-48.0,4.0,-56.0
AnteriorInfarction_003,V6,1,AnteriorInfarction,-606,qRs,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,6,6,0.0,24,24,0.0,32,32,0.0,65,44,42.0,70,79,-18.0,149,149,0.0,249,227,44.0,50.0,52.0,62.0,44.0
AnteriorInfarction_003,aVL,1,AnteriorInfarction,-606,qRs,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,14,14,0.0,30,30,0.0,63,,,63,44,38.0,65,49,32.0,144,144,0.0,251,250,2.0,46.0,10.0,-30.0,2.0
AnteriorInfarction_003,aVF,1,AnteriorInfarction,-606,Rs,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,24,-28.0,31,31,0.0,66,44,44.0,68,49,38.0,143,143,0.0,251,249,4.0,52.0,12.0,-34.0,4.0
AnteriorInfarction_004,V1,1,AnteriorInfarction,-604,rS,1,0.0006,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,5,6,-2.0,21,21,0.0,51,46,10.0,65,46,38.0,151,152,-2.0,264,270,-12.0,14.0,-8.0,-50.0,-10.0
AnteriorInfarction_004,I,1,AnteriorInfarction,-604,R,1,0.0009,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,8,30,-44.0,,51,,51,46,10.0,60,97,-74.0,139,169,-60.0,268,252,32.0,14.0,36.0,106.0,92.0
AnteriorInfarction_004,II,1,AnteriorInfarction,-604,R,1,0.0003,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,20,20,0.0,,,,51,46,10.0,63,68,-10.0,142,143,-2.0,263,173,180.0,14.0,184.0,190.0,182.0
