record_id,lead,beat_id,disease_class,crop_start,qrs_pattern_pred,order_ok_pred,p_head_prob,seg_emits_p,qrs_anchor,anchor_in_qrs,window_end,read_end,p_onset_pred,p_onset_true,p_onset_err_ms,p_peak_pred,p_peak_true,p_peak_err_ms,p_offset_pred,p_offset_true,p_offset_err_ms,qrs_onset_pred,qrs_onset_true,qrs_onset_err_ms,q_peak_pred,q_peak_true,q_peak_err_ms,r_peak_pred,r_peak_true,r_peak_err_ms,s_peak_pred,s_peak_true,s_peak_err_ms,qrs_offset_pred,qrs_offset_true,qrs_offset_err_ms,t_onset_pred,t_onset_true,t_onset_err_ms,t_peak_pred,t_peak_true,t_peak_err_ms,t_offset_pred,t_offset_true,t_offset_err_ms,qrs_duration_err_ms,qt_interval_err_ms,t_duration_err_ms,t_peak_to_end_err_ms
AnteriorInfarction_003,V3,1,AnteriorInfarction,-606,qRs,1,0.0025,0,628,1,249,500,,,,,,,,,,0,4,-8.0,8,9,-2.0,31,31,0.0,51,,,51,44,14.0,72,49,46.0,162,162,0.0,249,248,2.0,22.0,10.0,-44.0,2.0
AnteriorInfarction_003,I,1,AnteriorInfarction,-606,R,1,0.0055,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,7,25,-36.0,,,,50,44,12.0,72,68,8.0,141,141,0.0,249,251,-4.0,20.0,4.0,-12.0,-4.0
AnteriorInfarction_003,II,1,AnteriorInfarction,-606,R,1,0.0034,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,24,-28.0,,,,51,44,14.0,72,68,8.0,142,143,-2.0,250,252,-4.0,22.0,4.0,-12.0,-2.0
AnteriorInfarction_003,III,1,AnteriorInfarction,-606,RS,1,0.0051,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,17,-14.0,31,31,0.0,50,44,12.0,70,49,42.0,143,143,0.0,251,250,2.0,20.0,10.0,-40.0,2.0
AnteriorInfarction_003,aVR,1,AnteriorInfarction,-606,QS,1,0.0053,0,628,1,249,500,,,,,,,,,,0,4,-8.0,24,24,0.0,,,,,,,50,44,12.0,72,49,46.0,142,142,0.0,249,180,138.0,20.0,146.0,92.0,138.0
AnteriorInfarction_003,V1,1,AnteriorInfarction,-606,rS,1,0.0035,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,20,,6,36,-60.0,20,48,-56.0,51,44,14.0,73,68,10.0,169,148,42.0,251,271,-40.0,22.0,-32.0,-50.0,-82.0
AnteriorInfarction_003,V2,1,AnteriorInfarction,-606,rS,1,0.0043,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,14,,2,31,-58.0,13,50,-74.0,52,44,16.0,72,87,-30.0,162,163,-2.0,250,257,-14.0,24.0,-6.0,16.0,-12.0
AnteriorInfarction_003,V4,1,AnteriorInfarction,-606,qR,1,0.0023,0,628,1,249,500,,,,,,,,,,0,4,-8.0,8,8,0.0,28,28,0.0,,,,51,44,14.0,73,49,48.0,140,140,0.0,250,220,60.0,22.0,68.0,12.0,60.0
AnteriorInfarction_003,V5,1,AnteriorInfarction,-606,qR,1,0.0026,0,628,1,249,500,,,,,,,,,,0,4,-8.0,6,6,0.0,24,24,0.0,,,,51,44,14.0,74,100,-52.0,154,154,0.0,250,278,-56.0,22.0,-48.0,-4.0,-56.0
AnteriorInfarction_003,V6,1,AnteriorInfarction,-606,qRs,1,0.0027,0,628,1,249,500,,,,,,,,,,0,4,-8.0,6,6,0.0,24,24,0.0,32,32,0.0,51,44,14.0,72,79,-14.0,149,149,0.0,249,227,44.0,22.0,52.0,58.0,44.0
AnteriorInfarction_003,aVL,1,AnteriorInfarction,-606,qR,1,0.0037,0,628,1,249,500,,,,,,,,,,0,4,-8.0,14,14,0.0,30,30,0.0,,,,50,44,12.0,71,49,44.0,144,144,0.0,251,250,2.0,20.0,10.0,-42.0,2.0
AnteriorInfarction_003,aVF,1,AnteriorInfarction,-606,Rs,1,0.0028,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,24,-28.0,31,31,0.0,50,44,12.0,70,49,42.0,143,143,0.0,250,249,2.0,20.0,10.0,-40.0,2.0
AnteriorInfarction_004,V1,1,AnteriorInfarction,-604,rS,1,0.0102,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,5,6,-2.0,21,21,0.0,48,46,4.0,68,46,44.0,151,152,-2.0,264,270,-12.0,8.0,-8.0,-56.0,-10.0
AnteriorInfarction_004,I,1,AnteriorInfarction,-604,R,1,0.0153,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,8,30,-44.0,,51,,48,46,4.0,67,97,-60.0,139,169,-60.0,265,252,26.0,8.0,30.0,86.0,86.0
AnteriorInfarction_004,II,1,AnteriorInfarction,-604,R,1,0.0078,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,20,20,0.0,,,,48,46,4.0,67,68,-2.0,142,143,-2.0,260,173,174.0,8.0,178.0,176.0,176.0
AnteriorInfarction_004,III,1,AnteriorInfarction,-604,rS,1,0.0137,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,5,18,-26.0,34,33,2.0,48,46,4.0,68,51,34.0,147,147,0.0,260,269,-18.0,8.0,-14.0,-52.0,-18.0
AnteriorInfarction_004,aVR,1,AnteriorInfarction,-604,QS,1,0.0079,0,637,1,251,500,,,,,,,,,,0,2,-4.0,29,30,-2.0,,,,,,,48,46,4.0,66,75,-18.0,141,141,0.0,263,251,24.0,8.0,28.0,42.0,24.0
AnteriorInfarction_004,aVL,1,AnteriorInfarction,-604,QRS,1,0.0137,0,637,1,251,500,,,,,,,,,,0,2,-4.0,5,5,0.0,8,30,-44.0,48,51,-6.0,48,46,4.0,68,100,-64.0,154,154,0.0,262,265,-6.0,8.0,-2.0,58.0,-6.0
AnteriorInfarction_004,aVF,1,AnteriorInfarction,-604,RS,1,0.0087,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,6,19,-26.0,35,36,-2.0,48,46,4.0,67,74,-14.0,144,144,0.0,258,250,16.0,8.0,20.0,30.0,16.0
AnteriorInfarction_004,V2,1,AnteriorInfarction,-604,rS,1,0.009,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,4,12,-16.0,26,26,0.0,48,46,4.0,68,53,30.0,154,155,-2.0,260,262,-4.0,8.0,0.0,-34.0,-2.0
AnteriorInfarction_004,V3,1,AnteriorInfarction,-604,QR,1,0.0063,0,637,1,251,500,,,,,,,,,,0,2,-4.0,9,10,-2.0,20,32,-24.0,,,,48,46,4.0,68,87,-38.0,143,175,-64.0,256,255,2.0,8.0,6.0,40.0,66.0
AnteriorInfarction_004,V4,1,AnteriorInfarction,-604,R,1,0.0067,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,7,,31,31,0.0,,,,48,46,4.0,68,59,18.0,176,170,12.0,258,251,14.0,8.0,18.0,-4.0,2.0
AnteriorInfarction_004,V5,1,AnteriorInfarction,-604,R,1,0.0062,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,7,,26,26,0.0,,,,48,46,4.0,67,94,-54.0,148,148,0.0,261,251,20.0,8.0,24.0,74.0,20.0
AnteriorInfarction_004,V6,1,AnteriorInfarction,-604,Rs,1,0.0066,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,4,,20,20,0.0,30,31,-2.0,48,46,4.0,67,62,10.0,144,144,0.0,262,251,22.0,8.0,26.0,12.0,22.0
AnteriorInfarction_005,V3,1,AnteriorInfarction,-605,QRs,1,0.0002,0,638,1,250,500,,,,,,,,,,0,5,-10.0,8,8,0.0,17,31,-28.0,51,,,51,48,6.0,58,89,-62.0,146,146,0.0,246,266,-40.0,16.0,-30.0,22.0,-40.0
AnteriorInfarction_005,I,1,AnteriorInfarction,-605,R,1,0.0002,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,10,26,-32.0,,,,49,48,2.0,58,72,-28.0,137,137,0.0,244,250,-12.0,12.0,-2.0,16.0,-12.0
AnteriorInfarction_005,II,1,AnteriorInfarction,-605,R,1,0.0001,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,16,24,-16.0,,44,,50,48,4.0,58,50,16.0,142,142,0.0,245,267,-44.0,14.0,-34.0,-60.0,-44.0
AnteriorInfarction_005,III,1,AnteriorInfarction,-605,RS,1,0.0003,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,6,17,-22.0,31,31,0.0,50,48,4.0,57,70,-26.0,147,148,-2.0,246,234,24.0,14.0,34.0,50.0,26.0
AnteriorInfarction_005,aVR,1,AnteriorInfarction,-605,QS,1,0.0002,0,638,1,250,500,,,,,,,,,,0,5,-10.0,24,24,0.0,,,,,,,50,48,4.0,58,66,-16.0,140,140,0.0,245,255,-20.0,14.0,-10.0,-4.0,-20.0
AnteriorInfarction_005,aVL,1,AnteriorInfarction,-605,qrS,1,0.0001,0,638,1,250,500,,,,,,,,,,0,5,-10.0,5,18,-26.0,8,31,-46.0,17,,,50,48,4.0,57,50,14.0,153,153,0.0,246,263,-34.0,14.0,-24.0,-48.0,-34.0
AnteriorInfarction_005,aVF,1,AnteriorInfarction,-605,R,1,0.0001,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,16,24,-16.0,,38,,50,48,4.0,58,52,12.0,144,144,0.0,245,262,-34.0,14.0,-24.0,-46.0,-34.0
AnteriorInfarction_005,V1,1,AnteriorInfarction,-605,rS,1,0.0002,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,23,,5,33,-56.0,23,48,-50.0,50,48,4.0,58,100,-84.0,137,137,0.0,247,269,-44.0,14.0,-34.0,40.0,-44.0
AnteriorInfarction_005,V2,1,AnteriorInfarction,-605,rS,1,0.0002,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,22,,3,31,-56.0,22,53,-62.0,50,48,4.0,58,87,-58.0,142,142,0.0,247,274,-54.0,14.0,-44.0,4.0,-54.0
AnteriorInfarction_005,V4,1,AnteriorInfarction,-605,qR,1,0.0001,0,638,1,250,500,,,,,,,,,,0,5,-10.0,8,8,0.0,29,29,0.0,,,,51,48,6.0,58,58,0.0,144,145,-2.0,247,263,-32.0,16.0,-22.0,-32.0,-30.0
AnteriorInfarction_005,V5,1,AnteriorInfarction,-605,qR,1,0.0001,0,638,1,250,500,,,,,,,,,,0,5,-10.0,6,7,-2.0,24,25,-2.0,,,,50,48,4.0,58,101,-86.0,172,172,0.0,245,254,-18.0,14.0,-8.0,68.0,-18.0
