record_id,lead,disease_class,label_quality,qrs_end_flag,pred_qrs_onset,true_qrs_onset,err_qrs_onset,pred_qrs_offset,true_qrs_offset,err_qrs_offset,pred_t_onset,true_t_onset,err_t_onset,pred_t_peak,true_t_peak,err_t_peak,pred_t_offset,true_t_offset,err_t_offset,bioerr_qrs_duration,bioerr_qt_interval,bioerr_t_duration,bioerr_t_peak_to_end
AnteriorInfarction_001,I,AnteriorInfarction,reviewed,True,10.0,4.0,6.0,96.0,81.0,15.0,248.0,118.0,130.0,324.0,318.0,6.0,502.0,504.0,-2.0,9.0,-8.0,-132.0,-8.0
AnteriorInfarction_001,II,AnteriorInfarction,propagated,False,4.0,4.0,0.0,84.0,81.0,3.0,194.0,118.0,76.0,284.0,283.0,1.0,354.0,504.0,-150.0,3.0,-150.0,-226.0,-151.0
AnteriorInfarction_001,III,AnteriorInfarction,propagated,False,10.0,4.0,6.0,90.0,81.0,9.0,202.0,118.0,84.0,286.0,286.0,0.0,378.0,504.0,-126.0,3.0,-132.0,-210.0,-126.0
AnteriorInfarction_001,aVR,AnteriorInfarction,propagated,False,10.0,4.0,6.0,90.0,81.0,9.0,186.0,118.0,68.0,280.0,280.0,0.0,410.0,504.0,-94.0,3.0,-100.0,-162.0,-94.0
AnteriorInfarction_001,aVL,AnteriorInfarction,propagated,False,10.0,4.0,6.0,90.0,81.0,9.0,208.0,118.0,90.0,290.0,289.0,1.0,492.0,504.0,-12.0,3.0,-18.0,-102.0,-13.0
AnteriorInfarction_001,aVF,AnteriorInfarction,propagated,False,4.0,4.0,0.0,88.0,81.0,7.0,198.0,118.0,80.0,284.0,285.0,-1.0,360.0,504.0,-144.0,7.0,-144.0,-224.0,-143.0
AnteriorInfarction_001,V1,AnteriorInfarction,propagated,False,2.0,4.0,-2.0,84.0,81.0,3.0,166.0,118.0,48.0,282.0,283.0,-1.0,342.0,504.0,-162.0,5.0,-160.0,-210.0,-161.0
AnteriorInfarction_001,V2,AnteriorInfarction,propagated,False,10.0,4.0,6.0,88.0,81.0,7.0,154.0,118.0,36.0,280.0,280.0,0.0,560.0,504.0,56.0,1.0,50.0,20.0,56.0
AnteriorInfarction_001,V3,AnteriorInfarction,propagated,True,4.0,4.0,0.0,102.0,81.0,21.0,198.0,118.0,80.0,312.0,312.0,0.0,420.0,504.0,-84.0,21.0,-84.0,-164.0,-84.0
AnteriorInfarction_001,V4,AnteriorInfarction,propagated,False,4.0,4.0,0.0,90.0,81.0,9.0,100.0,118.0,-18.0,130.0,128.0,2.0,336.0,504.0,-168.0,9.0,-168.0,-150.0,-170.0
AnteriorInfarction_001,V5,AnteriorInfarction,propagated,False,10.0,4.0,6.0,90.0,81.0,9.0,202.0,118.0,84.0,304.0,303.0,1.0,476.0,504.0,-28.0,3.0,-34.0,-112.0,-29.0
AnteriorInfarction_001,V6,AnteriorInfarction,propagated,False,10.0,4.0,6.0,86.0,81.0,5.0,218.0,118.0,100.0,294.0,293.0,1.0,346.0,504.0,-158.0,-1.0,-164.0,-258.0,-159.0
AnteriorInfarction_002,I,AnteriorInfarction,propagated,True,10.0,3.0,7.0,124.0,111.0,13.0,234.0,154.0,80.0,344.0,344.0,0.0,560.0,542.0,18.0,6.0,11.0,-62.0,18.0
AnteriorInfarction_002,II,AnteriorInfarction,propagated,True,10.0,3.0,7.0,116.0,111.0,5.0,210.0,154.0,56.0,290.0,289.0,1.0,478.0,542.0,-64.0,-2.0,-71.0,-120.0,-65.0
AnteriorInfarction_002,III,AnteriorInfarction,propagated,True,10.0,3.0,7.0,118.0,111.0,7.0,218.0,154.0,64.0,292.0,293.0,-1.0,432.0,542.0,-110.0,0.0,-117.0,-174.0,-109.0
AnteriorInfarction_002,aVR,AnteriorInfarction,propagated,True,10.0,3.0,7.0,118.0,111.0,7.0,202.0,154.0,48.0,288.0,287.0,1.0,522.0,542.0,-20.0,0.0,-27.0,-68.0,-21.0
AnteriorInfarction_002,aVL,AnteriorInfarction,propagated,True,10.0,3.0,7.0,122.0,111.0,11.0,226.0,154.0,72.0,298.0,298.0,0.0,558.0,542.0,16.0,4.0,9.0,-56.0,16.0
AnteriorInfarction_002,aVF,AnteriorInfarction,propagated,True,10.0,3.0,7.0,118.0,111.0,7.0,214.0,154.0,60.0,290.0,291.0,-1.0,430.0,542.0,-112.0,0.0,-119.0,-172.0,-111.0
AnteriorInfarction_002,V1,AnteriorInfarction,reviewed,True,0.0,3.0,-3.0,116.0,111.0,5.0,126.0,154.0,-28.0,306.0,306.0,0.0,586.0,542.0,44.0,8.0,47.0,72.0,44.0
AnteriorInfarction_002,V2,AnteriorInfarction,propagated,True,0.0,3.0,-3.0,116.0,111.0,5.0,126.0,154.0,-28.0,302.0,302.0,0.0,560.0,542.0,18.0,8.0,21.0,46.0,18.0
AnteriorInfarction_002,V3,AnteriorInfarction,propagated,True,0.0,3.0,-3.0,124.0,111.0,13.0,198.0,154.0,44.0,352.0,351.0,1.0,568.0,542.0,26.0,16.0,29.0,-18.0,25.0
AnteriorInfarction_002,V4,AnteriorInfarction,propagated,True,10.0,3.0,7.0,124.0,111.0,13.0,228.0,154.0,74.0,320.0,321.0,-1.0,566.0,542.0,24.0,6.0,17.0,-50.0,25.0
AnteriorInfarction_002,V5,AnteriorInfarction,propagated,True,4.0,3.0,1.0,118.0,111.0,7.0,128.0,154.0,-26.0,280.0,279.0,1.0,450.0,542.0,-92.0,6.0,-93.0,-66.0,-93.0
AnteriorInfarction_002,V6,AnteriorInfarction,propagated,True,4.0,3.0,1.0,114.0,111.0,3.0,224.0,154.0,70.0,306.0,306.0,0.0,472.0,542.0,-70.0,2.0,-71.0,-140.0,-70.0
AnteriorInfarction_003,I,AnteriorInfarction,propagated,True,10.0,7.0,3.0,94.0,87.0,7.0,186.0,93.0,93.0,282.0,282.0,0.0,482.0,487.0,-5.0,4.0,-8.0,-98.0,-5.0
AnteriorInfarction_003,II,AnteriorInfarction,propagated,True,0.0,7.0,-7.0,92.0,87.0,5.0,198.0,93.0,105.0,284.0,285.0,-1.0,366.0,487.0,-121.0,12.0,-114.0,-226.0,-120.0
AnteriorInfarction_003,III,AnteriorInfarction,propagated,True,0.0,7.0,-7.0,94.0,87.0,7.0,202.0,93.0,109.0,286.0,285.0,1.0,502.0,487.0,15.0,14.0,22.0,-94.0,14.0
AnteriorInfarction_003,aVR,AnteriorInfarction,propagated,False,2.0,7.0,-5.0,90.0,87.0,3.0,194.0,93.0,101.0,284.0,284.0,0.0,356.0,487.0,-131.0,8.0,-126.0,-232.0,-131.0
AnteriorInfarction_003,aVL,AnteriorInfarction,propagated,True,2.0,7.0,-5.0,96.0,87.0,9.0,210.0,93.0,117.0,288.0,288.0,0.0,504.0,487.0,17.0,14.0,22.0,-100.0,17.0
AnteriorInfarction_003,aVF,AnteriorInfarction,propagated,True,0.0,7.0,-7.0,94.0,87.0,7.0,200.0,93.0,107.0,286.0,285.0,1.0,490.0,487.0,3.0,14.0,10.0,-104.0,2.0
AnteriorInfarction_003,V1,AnteriorInfarction,propagated,True,0.0,7.0,-7.0,96.0,87.0,9.0,106.0,93.0,13.0,294.0,295.0,-1.0,574.0,487.0,87.0,16.0,94.0,74.0,88.0
AnteriorInfarction_003,V2,AnteriorInfarction,propagated,True,0.0,7.0,-7.0,108.0,87.0,21.0,228.0,93.0,135.0,324.0,325.0,-1.0,514.0,487.0,27.0,28.0,34.0,-108.0,28.0
AnteriorInfarction_003,V3,AnteriorInfarction,reviewed,True,4.0,7.0,-3.0,106.0,87.0,19.0,226.0,93.0,133.0,324.0,324.0,0.0,510.0,487.0,23.0,22.0,26.0,-110.0,23.0
AnteriorInfarction_003,V4,AnteriorInfarction,propagated,True,4.0,7.0,-3.0,100.0,87.0,13.0,222.0,93.0,129.0,280.0,280.0,0.0,440.0,487.0,-47.0,16.0,-44.0,-176.0,-47.0
AnteriorInfarction_003,V5,AnteriorInfarction,propagated,True,2.0,7.0,-5.0,94.0,87.0,7.0,230.0,93.0,137.0,308.0,308.0,0.0,350.0,487.0,-137.0,12.0,-132.0,-274.0,-137.0
AnteriorInfarction_003,V6,AnteriorInfarction,propagated,True,4.0,7.0,-3.0,92.0,87.0,5.0,220.0,93.0,127.0,298.0,297.0,1.0,356.0,487.0,-131.0,8.0,-128.0,-258.0,-132.0
AnteriorInfarction_004,I,AnteriorInfarction,propagated,True,10.0,3.0,7.0,108.0,91.0,17.0,272.0,124.0,148.0,338.0,338.0,0.0,512.0,507.0,5.0,10.0,-2.0,-143.0,5.0
AnteriorInfarction_004,II,AnteriorInfarction,propagated,True,2.0,3.0,-1.0,100.0,91.0,9.0,200.0,124.0,76.0,284.0,285.0,-1.0,364.0,507.0,-143.0,10.0,-142.0,-219.0,-142.0
AnteriorInfarction_004,III,AnteriorInfarction,propagated,True,0.0,3.0,-3.0,106.0,91.0,15.0,214.0,124.0,90.0,294.0,294.0,0.0,504.0,507.0,-3.0,18.0,0.0,-93.0,-3.0
AnteriorInfarction_004,aVR,AnteriorInfarction,propagated,True,4.0,3.0,1.0,108.0,91.0,17.0,190.0,124.0,66.0,282.0,282.0,0.0,512.0,507.0,5.0,16.0,4.0,-61.0,5.0
