record_id,lead,disease_class,label_quality,qrs_end_flag,pred_qrs_onset,true_qrs_onset,err_qrs_onset,pred_qrs_offset,true_qrs_offset,err_qrs_offset,pred_t_onset,true_t_onset,err_t_onset,pred_t_peak,true_t_peak,err_t_peak,pred_t_offset,true_t_offset,err_t_offset,bioerr_qrs_duration,bioerr_qt_interval,bioerr_t_duration,bioerr_t_peak_to_end
AnteriorInfarction_003,V3,AnteriorInfarction,reviewed,True,4.0,7.0,-3.0,106.0,88.0,18.0,226.0,98.0,128.0,324.0,324.0,0.0,510.0,496.0,14.0,21.0,17.0,-114.0,14.0
AnteriorInfarction_004,V1,AnteriorInfarction,reviewed,True,0.0,3.0,-3.0,100.0,91.0,9.0,190.0,92.0,98.0,302.0,303.0,-1.0,426.0,540.0,-114.0,12.0,-111.0,-212.0,-113.0
AnteriorInfarction_005,V3,AnteriorInfarction,reviewed,True,10.0,9.0,1.0,102.0,96.0,6.0,220.0,178.0,42.0,292.0,291.0,1.0,524.0,531.0,-7.0,5.0,-8.0,-49.0,-8.0
AnteriorInfarction_006,V5,AnteriorInfarction,reviewed,False,10.0,3.0,7.0,90.0,85.0,5.0,244.0,195.0,49.0,338.0,338.0,0.0,512.0,517.0,-5.0,-2.0,-12.0,-54.0,-5.0
AnteriorInfarction_007,V3,AnteriorInfarction,reviewed,True,4.0,5.0,-1.0,100.0,85.0,15.0,218.0,100.0,118.0,282.0,283.0,-1.0,516.0,523.0,-7.0,16.0,-6.0,-125.0,-6.0
AnteriorInfarction_008,V2,AnteriorInfarction,reviewed,False,0.0,3.0,-3.0,88.0,92.0,-4.0,156.0,103.0,53.0,288.0,288.0,0.0,568.0,507.0,61.0,-1.0,64.0,8.0,61.0
AnteriorInfarction_009,V1,AnteriorInfarction,reviewed,True,2.0,3.0,-1.0,92.0,97.0,-5.0,102.0,107.0,-5.0,320.0,319.0,1.0,490.0,499.0,-9.0,-4.0,-8.0,-4.0,-10.0
AnteriorInfarction_010,V2,AnteriorInfarction,reviewed,True,0.0,3.0,-3.0,98.0,91.0,7.0,166.0,96.0,70.0,306.0,306.0,0.0,586.0,584.0,2.0,10.0,5.0,-68.0,2.0
AnteriorInfarction_011,V4,AnteriorInfarction,reviewed,True,4.0,4.0,0.0,122.0,105.0,17.0,224.0,195.0,29.0,292.0,291.0,1.0,548.0,557.0,-9.0,17.0,-9.0,-38.0,-10.0
AnteriorInfarction_012,V2,AnteriorInfarction,reviewed,True,2.0,4.0,-2.0,112.0,102.0,10.0,198.0,105.0,93.0,302.0,301.0,1.0,582.0,551.0,31.0,12.0,33.0,-62.0,30.0
AnteriorInfarction_013,V3,AnteriorInfarction,reviewed,True,4.0,3.0,1.0,104.0,96.0,8.0,220.0,178.0,42.0,294.0,293.0,1.0,508.0,490.0,18.0,7.0,17.0,-24.0,17.0
AnteriorInfarction_014,V4,AnteriorInfarction,reviewed,True,4.0,9.0,-5.0,104.0,101.0,3.0,228.0,191.0,37.0,290.0,289.0,1.0,502.0,499.0,3.0,8.0,8.0,-34.0,2.0
AnteriorInfarction_015,V1,AnteriorInfarction,reviewed,True,0.0,5.0,-5.0,94.0,74.0,20.0,104.0,107.0,-3.0,302.0,302.0,0.0,582.0,525.0,57.0,25.0,62.0,60.0,57.0
AnteriorInfarction_016,V3,AnteriorInfarction,reviewed,True,10.0,3.0,7.0,112.0,96.0,16.0,226.0,195.0,31.0,294.0,293.0,1.0,522.0,507.0,15.0,9.0,8.0,-16.0,14.0
AnteriorInfarction_017,V1,AnteriorInfarction,reviewed,True,0.0,3.0,-3.0,100.0,123.0,-23.0,110.0,123.0,-13.0,306.0,306.0,0.0,586.0,572.0,14.0,-20.0,17.0,27.0,14.0
AnteriorInfarction_018,V5,AnteriorInfarction,reviewed,True,4.0,3.0,1.0,116.0,96.0,20.0,240.0,201.0,39.0,340.0,340.0,0.0,540.0,550.0,-10.0,19.0,-11.0,-49.0,-10.0
AnteriorInfarction_019,aVF,AnteriorInfarction,reviewed,True,2.0,3.0,-1.0,104.0,96.0,8.0,208.0,156.0,52.0,284.0,284.0,0.0,492.0,525.0,-33.0,9.0,-32.0,-85.0,-33.0
AnteriorInfarction_020,V3,AnteriorInfarction,reviewed,False,4.0,6.0,-2.0,88.0,77.0,11.0,222.0,101.0,121.0,294.0,295.0,-1.0,490.0,488.0,2.0,13.0,4.0,-119.0,3.0
AnteriorIschemia_001,V3,AnteriorIschemia,reviewed,False,2.0,4.0,-2.0,76.0,110.0,-34.0,154.0,143.0,11.0,224.0,223.0,1.0,326.0,334.0,-8.0,-32.0,-6.0,-19.0,-9.0
AnteriorIschemia_002,aVR,AnteriorIschemia,reviewed,True,10.0,3.0,7.0,120.0,109.0,11.0,202.0,135.0,67.0,288.0,288.0,0.0,376.0,388.0,-12.0,4.0,-19.0,-79.0,-12.0
AnteriorIschemia_003,I,AnteriorIschemia,reviewed,False,4.0,3.0,1.0,84.0,84.0,0.0,210.0,176.0,34.0,286.0,286.0,0.0,352.0,342.0,10.0,-1.0,9.0,-24.0,10.0
AnteriorIschemia_004,I,AnteriorIschemia,reviewed,False,10.0,3.0,7.0,90.0,113.0,-23.0,178.0,113.0,65.0,272.0,273.0,-1.0,348.0,343.0,5.0,-30.0,-2.0,-60.0,6.0
AnteriorIschemia_005,aVR,AnteriorIschemia,reviewed,False,4.0,7.0,-3.0,80.0,101.0,-21.0,204.0,102.0,102.0,282.0,282.0,0.0,352.0,351.0,1.0,-18.0,4.0,-101.0,1.0
