record_id,lead,disease_class,label_quality,qrs_end_flag,pred_qrs_onset,true_qrs_onset,err_qrs_onset,pred_qrs_offset,true_qrs_offset,err_qrs_offset,pred_t_onset,true_t_onset,err_t_onset,pred_t_peak,true_t_peak,err_t_peak,pred_t_offset,true_t_offset,err_t_offset,bioerr_qrs_duration,bioerr_qt_interval,bioerr_t_duration,bioerr_t_peak_to_end
AnteriorInfarction_003,V3,AnteriorInfarction,reviewed,True,4.0,7.0,-3.0,106.0,88.0,18.0,226.0,98.0,128.0,324.0,324.0,0.0,510.0,496.0,14.0,21.0,17.0,-114.0,14.0
AnteriorInfarction_003,I,AnteriorInfarction,reviewed,True,10.0,7.0,3.0,94.0,88.0,6.0,186.0,136.0,50.0,282.0,282.0,0.0,482.0,502.0,-20.0,3.0,-23.0,-70.0,-20.0
AnteriorInfarction_003,II,AnteriorInfarction,reviewed,True,0.0,7.0,-7.0,92.0,88.0,4.0,198.0,135.0,63.0,284.0,285.0,-1.0,366.0,503.0,-137.0,11.0,-130.0,-200.0,-136.0
AnteriorInfarction_003,III,AnteriorInfarction,reviewed,True,0.0,7.0,-7.0,94.0,88.0,6.0,202.0,98.0,104.0,286.0,285.0,1.0,502.0,499.0,3.0,13.0,10.0,-101.0,2.0
AnteriorInfarction_003,aVR,AnteriorInfarction,reviewed,False,2.0,7.0,-5.0,90.0,88.0,2.0,194.0,98.0,96.0,284.0,284.0,0.0,356.0,359.0,-3.0,7.0,2.0,-99.0,-3.0
AnteriorInfarction_003,V1,AnteriorInfarction,reviewed,True,0.0,7.0,-7.0,96.0,88.0,8.0,106.0,135.0,-29.0,294.0,295.0,-1.0,574.0,542.0,32.0,15.0,39.0,61.0,33.0
AnteriorInfarction_003,V2,AnteriorInfarction,reviewed,True,0.0,7.0,-7.0,108.0,88.0,20.0,228.0,174.0,54.0,324.0,325.0,-1.0,514.0,514.0,0.0,27.0,7.0,-54.0,1.0
AnteriorInfarction_003,V4,AnteriorInfarction,reviewed,True,4.0,7.0,-3.0,100.0,88.0,12.0,222.0,98.0,124.0,280.0,280.0,0.0,440.0,439.0,1.0,15.0,4.0,-123.0,1.0
AnteriorInfarction_003,V5,AnteriorInfarction,reviewed,True,2.0,7.0,-5.0,94.0,88.0,6.0,230.0,199.0,31.0,308.0,308.0,0.0,350.0,555.0,-205.0,11.0,-200.0,-236.0,-205.0
AnteriorInfarction_003,V6,AnteriorInfarction,reviewed,True,4.0,7.0,-3.0,92.0,88.0,4.0,220.0,158.0,62.0,298.0,297.0,1.0,356.0,454.0,-98.0,7.0,-95.0,-160.0,-99.0
AnteriorInfarction_003,aVL,AnteriorInfarction,reviewed,True,2.0,7.0,-5.0,96.0,88.0,8.0,210.0,98.0,112.0,288.0,288.0,0.0,504.0,499.0,5.0,13.0,10.0,-107.0,5.0
AnteriorInfarction_003,aVF,AnteriorInfarction,reviewed,True,0.0,7.0,-7.0,94.0,88.0,6.0,200.0,98.0,102.0,286.0,285.0,1.0,490.0,498.0,-8.0,13.0,-1.0,-110.0,-9.0
AnteriorInfarction_004,V1,AnteriorInfarction,reviewed,True,0.0,3.0,-3.0,100.0,91.0,9.0,190.0,92.0,98.0,302.0,303.0,-1.0,426.0,540.0,-114.0,12.0,-111.0,-212.0,-113.0
AnteriorInfarction_004,I,AnteriorInfarction,reviewed,True,10.0,3.0,7.0,108.0,91.0,17.0,272.0,193.0,79.0,338.0,338.0,0.0,512.0,503.0,9.0,10.0,2.0,-70.0,9.0
AnteriorInfarction_004,II,AnteriorInfarction,reviewed,True,2.0,3.0,-1.0,100.0,91.0,9.0,200.0,136.0,64.0,284.0,285.0,-1.0,364.0,346.0,18.0,10.0,19.0,-46.0,19.0
AnteriorInfarction_004,III,AnteriorInfarction,reviewed,True,0.0,3.0,-3.0,106.0,91.0,15.0,214.0,102.0,112.0,294.0,294.0,0.0,504.0,537.0,-33.0,18.0,-30.0,-145.0,-33.0
AnteriorInfarction_004,aVR,AnteriorInfarction,reviewed,True,4.0,3.0,1.0,108.0,91.0,17.0,190.0,150.0,40.0,282.0,282.0,0.0,512.0,502.0,10.0,16.0,9.0,-30.0,10.0
