record_id,lead,beat_id,disease_class,crop_start,qrs_pattern_pred,order_ok_pred,p_head_prob,seg_emits_p,qrs_anchor,anchor_in_qrs,window_end,read_end,p_onset_pred,p_onset_true,p_onset_err_ms,p_peak_pred,p_peak_true,p_peak_err_ms,p_offset_pred,p_offset_true,p_offset_err_ms,qrs_onset_pred,qrs_onset_true,qrs_onset_err_ms,q_peak_pred,q_peak_true,q_peak_err_ms,r_peak_pred,r_peak_true,r_peak_err_ms,s_peak_pred,s_peak_true,s_peak_err_ms,qrs_offset_pred,qrs_offset_true,qrs_offset_err_ms,t_onset_pred,t_onset_true,t_onset_err_ms,t_peak_pred,t_peak_true,t_peak_err_ms,t_offset_pred,t_offset_true,t_offset_err_ms,qrs_duration_err_ms,qt_interval_err_ms,t_duration_err_ms,t_peak_to_end_err_ms
AnteriorInfarction_003,V3,1,AnteriorInfarction,-606,qR,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,8,9,-2.0,31,31,0.0,,,,48,44,8.0,63,49,28.0,162,162,0.0,252,248,8.0,12.0,12.0,-20.0,8.0
AnteriorInfarction_003,I,1,AnteriorInfarction,-606,R,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,,,,7,25,-36.0,,,,49,44,10.0,69,68,2.0,141,141,0.0,252,251,2.0,14.0,6.0,0.0,2.0
AnteriorInfarction_003,II,1,AnteriorInfarction,-606,R,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,,,,10,24,-28.0,,,,48,44,8.0,67,68,-2.0,142,143,-2.0,252,252,0.0,12.0,4.0,2.0,2.0
AnteriorInfarction_003,III,1,AnteriorInfarction,-606,RS,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,,,,10,17,-14.0,31,31,0.0,50,44,12.0,65,49,32.0,143,143,0.0,252,250,4.0,16.0,8.0,-28.0,4.0
AnteriorInfarction_003,aVR,1,AnteriorInfarction,-606,QS,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,24,24,0.0,,,,,,,48,44,8.0,69,49,40.0,142,142,0.0,254,180,148.0,12.0,152.0,108.0,148.0
AnteriorInfarction_003,V1,1,AnteriorInfarction,-606,rS,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,,20,,6,36,-60.0,20,48,-56.0,47,44,6.0,60,68,-16.0,147,148,-2.0,252,271,-38.0,10.0,-34.0,-22.0,-36.0
AnteriorInfarction_003,V2,1,AnteriorInfarction,-606,qRs,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,13,14,-2.0,31,31,0.0,48,50,-4.0,48,44,8.0,60,87,-54.0,162,163,-2.0,252,257,-10.0,12.0,-6.0,44.0,-8.0
AnteriorInfarction_003,V4,1,AnteriorInfarction,-606,qR,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,8,8,0.0,28,28,0.0,,,,49,44,10.0,67,49,36.0,140,140,0.0,250,220,60.0,14.0,64.0,24.0,60.0
AnteriorInfarction_003,V5,1,AnteriorInfarction,-606,qR,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,6,6,0.0,24,24,0.0,,,,49,44,10.0,69,100,-62.0,154,154,0.0,254,278,-48.0,14.0,-44.0,14.0,-48.0
AnteriorInfarction_003,V6,1,AnteriorInfarction,-606,qRs,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,6,6,0.0,24,24,0.0,32,32,0.0,48,44,8.0,68,79,-22.0,149,149,0.0,254,227,54.0,12.0,58.0,76.0,54.0
AnteriorInfarction_003,aVL,1,AnteriorInfarction,-606,qR,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,14,14,0.0,30,30,0.0,,,,49,44,10.0,65,49,32.0,144,144,0.0,251,250,2.0,14.0,6.0,-30.0,2.0
AnteriorInfarction_003,aVF,1,AnteriorInfarction,-606,Rs,1,0.0,0,628,1,249,500,,,,,,,,,,2,4,-4.0,,,,10,24,-28.0,31,31,0.0,49,44,10.0,67,49,36.0,143,143,0.0,252,249,6.0,14.0,10.0,-30.0,6.0
AnteriorInfarction_004,V1,1,AnteriorInfarction,-604,rS,1,0.0003,0,637,1,251,500,,,,,,,,,,2,2,0.0,,,,5,6,-2.0,21,21,0.0,44,46,-4.0,53,46,14.0,151,152,-2.0,260,270,-20.0,-4.0,-20.0,-34.0,-18.0
AnteriorInfarction_004,I,1,AnteriorInfarction,-604,R,1,0.0005,0,637,1,251,500,,,,,,,,,,2,2,0.0,,,,8,30,-44.0,,51,,48,46,4.0,59,97,-76.0,139,169,-60.0,270,252,36.0,4.0,36.0,112.0,96.0
AnteriorInfarction_004,II,1,AnteriorInfarction,-604,R,1,0.0,0,637,1,251,500,,,,,,,,,,2,2,0.0,,,,20,20,0.0,,,,45,46,-2.0,60,68,-16.0,142,143,-2.0,262,173,178.0,-2.0,178.0,194.0,180.0
AnteriorInfarction_004,III,1,AnteriorInfarction,-604,rS,1,0.0003,0,637,1,251,500,,,,,,,,,,2,2,0.0,,,,5,18,-26.0,34,33,2.0,47,46,2.0,60,51,18.0,147,147,0.0,260,269,-18.0,2.0,-18.0,-36.0,-18.0
AnteriorInfarction_004,aVR,1,AnteriorInfarction,-604,QS,1,0.0001,0,637,1,251,500,,,,,,,,,,2,2,0.0,29,30,-2.0,,,,,,,47,46,2.0,62,75,-26.0,141,141,0.0,266,251,30.0,2.0,30.0,56.0,30.0
AnteriorInfarction_004,aVL,1,AnteriorInfarction,-604,QRS,1,0.0002,0,637,1,251,500,,,,,,,,,,1,2,-2.0,5,5,0.0,8,30,-44.0,47,51,-8.0,47,46,2.0,58,100,-84.0,154,154,0.0,260,265,-10.0,4.0,-8.0,74.0,-10.0
AnteriorInfarction_004,aVF,1,AnteriorInfarction,-604,RS,1,0.0,0,637,1,251,500,,,,,,,,,,2,2,0.0,,,,6,19,-26.0,35,36,-2.0,47,46,2.0,62,74,-24.0,144,144,0.0,261,250,22.0,2.0,22.0,46.0,22.0
