record_id,lead,beat_id,disease_class,crop_start,qrs_pattern_pred,order_ok_pred,p_head_prob,seg_emits_p,qrs_anchor,anchor_in_qrs,window_end,read_end,p_onset_pred,p_onset_true,p_onset_err_ms,p_peak_pred,p_peak_true,p_peak_err_ms,p_offset_pred,p_offset_true,p_offset_err_ms,qrs_onset_pred,qrs_onset_true,qrs_onset_err_ms,q_peak_pred,q_peak_true,q_peak_err_ms,r_peak_pred,r_peak_true,r_peak_err_ms,s_peak_pred,s_peak_true,s_peak_err_ms,qrs_offset_pred,qrs_offset_true,qrs_offset_err_ms,t_onset_pred,t_onset_true,t_onset_err_ms,t_peak_pred,t_peak_true,t_peak_err_ms,t_offset_pred,t_offset_true,t_offset_err_ms,qrs_duration_err_ms,qt_interval_err_ms,t_duration_err_ms,t_peak_to_end_err_ms
AnteriorInfarction_003,V3,1,AnteriorInfarction,-606,qRs,1,0.0,0,628,1,249,500,,,,,,,,,,0,4,-8.0,8,9,-2.0,31,31,0.0,62,,,65,44,42.0,70,49,42.0,162,162,0.0,249,248,2.0,50.0,10.0,-40.0,2.0
AnteriorInfarction_003,I,1,AnteriorInfarction,-606,R,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,7,25,-36.0,,,,67,44,46.0,69,68,2.0,141,141,0.0,249,251,-4.0,54.0,4.0,-6.0,-4.0
AnteriorInfarction_003,II,1,AnteriorInfarction,-606,R,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,24,-28.0,,,,65,44,42.0,67,68,-2.0,142,143,-2.0,251,252,-2.0,50.0,6.0,0.0,0.0
AnteriorInfarction_003,III,1,AnteriorInfarction,-606,RS,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,17,-14.0,31,31,0.0,63,44,38.0,64,49,30.0,143,143,0.0,252,250,4.0,46.0,12.0,-26.0,4.0
AnteriorInfarction_003,aVR,1,AnteriorInfarction,-606,QS,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,24,24,0.0,,,,,,,63,44,38.0,70,49,42.0,142,142,0.0,249,180,138.0,46.0,146.0,96.0,138.0
AnteriorInfarction_003,V1,1,AnteriorInfarction,-606,rS,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,20,,6,36,-60.0,20,48,-56.0,64,44,40.0,70,68,4.0,169,148,42.0,250,271,-42.0,48.0,-34.0,-46.0,-84.0
AnteriorInfarction_003,V2,1,AnteriorInfarction,-606,rS,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,14,,2,31,-58.0,13,50,-74.0,66,44,44.0,67,87,-40.0,162,163,-2.0,250,257,-14.0,52.0,-6.0,26.0,-12.0
AnteriorInfarction_003,V4,1,AnteriorInfarction,-606,qR,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,8,8,0.0,28,28,0.0,,,,65,44,42.0,70,49,42.0,140,140,0.0,249,220,58.0,50.0,66.0,16.0,58.0
AnteriorInfarction_003,V5,1,AnteriorInfarction,-606,qR,1,0.0,0,628,1,249,500,,,,,,,,,,0,4,-8.0,6,6,0.0,24,24,0.0,,,,68,44,48.0,70,100,-60.0,154,154,0.0,250,278,-56.0,56.0,-48.0,4.0,-56.0
AnteriorInfarction_003,V6,1,AnteriorInfarction,-606,qRs,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,6,6,0.0,24,24,0.0,32,32,0.0,66,44,44.0,68,79,-22.0,149,149,0.0,249,227,44.0,52.0,52.0,66.0,44.0
AnteriorInfarction_003,aVL,1,AnteriorInfarction,-606,qRs,1,0.0001,0,628,1,249,500,,,,,,,,,,0,4,-8.0,14,14,0.0,30,30,0.0,61,,,61,44,34.0,63,49,28.0,144,144,0.0,251,250,2.0,42.0,10.0,-26.0,2.0
AnteriorInfarction_003,aVF,1,AnteriorInfarction,-606,Rs,1,0.0,0,628,1,249,500,,,,,,,,,,0,4,-8.0,,,,10,24,-28.0,31,31,0.0,65,44,42.0,67,49,36.0,143,143,0.0,251,249,4.0,50.0,12.0,-32.0,4.0
AnteriorInfarction_004,V1,1,AnteriorInfarction,-604,rS,1,0.0005,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,5,6,-2.0,21,21,0.0,51,46,10.0,64,46,36.0,151,152,-2.0,265,270,-10.0,14.0,-6.0,-46.0,-8.0
AnteriorInfarction_004,I,1,AnteriorInfarction,-604,R,1,0.0008,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,8,30,-44.0,,51,,51,46,10.0,60,97,-74.0,139,169,-60.0,268,252,32.0,14.0,36.0,106.0,92.0
AnteriorInfarction_004,II,1,AnteriorInfarction,-604,R,1,0.0003,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,20,20,0.0,,,,51,46,10.0,62,68,-12.0,142,143,-2.0,263,173,180.0,14.0,184.0,192.0,182.0
AnteriorInfarction_004,III,1,AnteriorInfarction,-604,rS,1,0.0009,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,5,18,-26.0,34,33,2.0,51,46,10.0,63,51,24.0,147,147,0.0,264,269,-10.0,14.0,-6.0,-34.0,-10.0
AnteriorInfarction_004,aVR,1,AnteriorInfarction,-604,QS,1,0.0003,0,637,1,251,500,,,,,,,,,,0,2,-4.0,29,30,-2.0,,,,,,,51,46,10.0,62,75,-26.0,141,141,0.0,265,251,28.0,14.0,32.0,54.0,28.0
AnteriorInfarction_004,aVL,1,AnteriorInfarction,-604,QRS,1,0.0009,0,637,1,251,500,,,,,,,,,,0,2,-4.0,5,5,0.0,8,30,-44.0,51,51,0.0,51,46,10.0,62,100,-76.0,154,154,0.0,265,265,0.0,14.0,4.0,76.0,0.0
AnteriorInfarction_004,aVF,1,AnteriorInfarction,-604,RS,1,0.0003,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,6,19,-26.0,35,36,-2.0,51,46,10.0,64,74,-20.0,144,144,0.0,262,250,24.0,14.0,28.0,44.0,24.0
AnteriorInfarction_004,V2,1,AnteriorInfarction,-604,rS,1,0.0005,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,,,4,12,-16.0,26,26,0.0,50,46,8.0,63,53,20.0,154,155,-2.0,263,262,2.0,12.0,6.0,-18.0,4.0
AnteriorInfarction_004,V3,1,AnteriorInfarction,-604,QR,1,0.0003,0,637,1,251,500,,,,,,,,,,0,2,-4.0,9,10,-2.0,20,32,-24.0,,,,50,46,8.0,63,87,-48.0,143,175,-64.0,259,255,8.0,12.0,12.0,56.0,72.0
AnteriorInfarction_004,V4,1,AnteriorInfarction,-604,R,1,0.0003,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,7,,31,31,0.0,,,,51,46,10.0,63,59,8.0,176,170,12.0,261,251,20.0,14.0,24.0,12.0,8.0
AnteriorInfarction_004,V5,1,AnteriorInfarction,-604,R,1,0.0002,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,7,,26,26,0.0,,,,51,46,10.0,63,94,-62.0,148,148,0.0,264,251,26.0,14.0,30.0,88.0,26.0
AnteriorInfarction_004,V6,1,AnteriorInfarction,-604,Rs,1,0.0003,0,637,1,251,500,,,,,,,,,,0,2,-4.0,,4,,20,20,0.0,30,31,-2.0,52,46,12.0,63,62,2.0,144,144,0.0,265,251,28.0,16.0,32.0,26.0,28.0
AnteriorInfarction_005,V3,1,AnteriorInfarction,-605,QRs,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,8,8,0.0,17,31,-28.0,57,,,57,48,18.0,59,89,-60.0,146,146,0.0,246,266,-40.0,28.0,-30.0,20.0,-40.0
AnteriorInfarction_005,I,1,AnteriorInfarction,-605,R,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,10,26,-32.0,,,,55,48,14.0,56,72,-32.0,137,137,0.0,245,250,-10.0,24.0,0.0,22.0,-10.0
AnteriorInfarction_005,II,1,AnteriorInfarction,-605,R,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,16,24,-16.0,,44,,55,48,14.0,57,50,14.0,142,142,0.0,247,267,-40.0,24.0,-30.0,-54.0,-40.0
AnteriorInfarction_005,III,1,AnteriorInfarction,-605,RS,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,6,17,-22.0,31,31,0.0,54,48,12.0,56,70,-28.0,147,148,-2.0,250,234,32.0,22.0,42.0,60.0,34.0
AnteriorInfarction_005,aVR,1,AnteriorInfarction,-605,QS,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,24,24,0.0,,,,,,,53,48,10.0,58,66,-16.0,140,140,0.0,246,255,-18.0,20.0,-8.0,-2.0,-18.0
AnteriorInfarction_005,aVL,1,AnteriorInfarction,-605,qrS,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,5,18,-26.0,8,31,-46.0,17,,,52,48,8.0,57,50,14.0,153,153,0.0,247,263,-32.0,18.0,-22.0,-46.0,-32.0
AnteriorInfarction_005,aVF,1,AnteriorInfarction,-605,R,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,16,24,-16.0,,38,,54,48,12.0,59,52,14.0,144,144,0.0,247,262,-30.0,22.0,-20.0,-44.0,-30.0
AnteriorInfarction_005,V1,1,AnteriorInfarction,-605,rS,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,23,,5,33,-56.0,23,48,-50.0,53,48,10.0,59,100,-82.0,137,137,0.0,247,269,-44.0,20.0,-34.0,38.0,-44.0
AnteriorInfarction_005,V2,1,AnteriorInfarction,-605,rS,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,22,,3,31,-56.0,22,53,-62.0,54,48,12.0,59,87,-56.0,142,142,0.0,248,274,-52.0,22.0,-42.0,4.0,-52.0
AnteriorInfarction_005,V4,1,AnteriorInfarction,-605,qR,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,8,8,0.0,29,29,0.0,,,,56,48,16.0,58,58,0.0,144,145,-2.0,248,263,-30.0,26.0,-20.0,-30.0,-28.0
AnteriorInfarction_005,V5,1,AnteriorInfarction,-605,qR,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,6,7,-2.0,24,25,-2.0,,,,55,48,14.0,56,101,-90.0,172,172,0.0,247,254,-14.0,24.0,-4.0,76.0,-14.0
AnteriorInfarction_005,V6,1,AnteriorInfarction,-605,R,1,0.0,0,638,1,250,500,,,,,,,,,,0,5,-10.0,,,,21,22,-2.0,,,,56,48,16.0,57,52,10.0,143,143,0.0,248,263,-30.0,26.0,-20.0,-40.0,-30.0
AnteriorInfarction_006,V5,1,AnteriorInfarction,-611,R,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,,,26,26,0.0,,,,46,43,6.0,55,98,-86.0,169,169,0.0,258,259,-2.0,10.0,2.0,84.0,-2.0
AnteriorInfarction_006,I,1,AnteriorInfarction,-611,R,1,0.0001,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,,,8,29,-42.0,,48,,46,43,6.0,54,102,-96.0,168,168,0.0,256,255,2.0,10.0,6.0,98.0,2.0
AnteriorInfarction_006,II,1,AnteriorInfarction,-611,R,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,,,10,25,-30.0,,,,46,43,6.0,54,69,-30.0,140,141,-2.0,257,259,-4.0,10.0,0.0,26.0,-2.0
AnteriorInfarction_006,III,1,AnteriorInfarction,-611,RS,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,,,10,10,0.0,29,29,0.0,46,43,6.0,55,50,10.0,142,142,0.0,256,248,16.0,10.0,20.0,6.0,16.0
AnteriorInfarction_006,aVR,1,AnteriorInfarction,-611,QS,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,25,25,0.0,,,,,,,45,43,4.0,55,62,-14.0,140,140,0.0,257,253,8.0,8.0,12.0,22.0,8.0
AnteriorInfarction_006,aVL,1,AnteriorInfarction,-611,qRs,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,10,10,0.0,23,29,-12.0,46,,,46,43,6.0,54,91,-74.0,146,146,0.0,256,254,4.0,10.0,8.0,78.0,4.0
AnteriorInfarction_006,aVF,1,AnteriorInfarction,-611,Rs,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,,,10,10,0.0,29,29,0.0,46,43,6.0,56,50,12.0,141,141,0.0,256,252,8.0,10.0,12.0,-4.0,8.0
AnteriorInfarction_006,V1,1,AnteriorInfarction,-611,rS,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,,,9,9,0.0,23,24,-2.0,46,43,6.0,56,54,4.0,148,148,0.0,257,266,-18.0,10.0,-14.0,-22.0,-18.0
AnteriorInfarction_006,V2,1,AnteriorInfarction,-611,RS,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,,,10,11,-2.0,21,21,0.0,46,43,6.0,56,48,16.0,143,143,0.0,257,267,-20.0,10.0,-16.0,-36.0,-20.0
AnteriorInfarction_006,V3,1,AnteriorInfarction,-611,RS,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,,,11,11,0.0,20,21,-2.0,46,43,6.0,56,70,-28.0,158,158,0.0,255,243,24.0,10.0,28.0,52.0,24.0
AnteriorInfarction_006,V4,1,AnteriorInfarction,-611,RS,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,19,,11,27,-32.0,19,,,46,43,6.0,55,93,-76.0,154,154,0.0,256,248,16.0,10.0,20.0,92.0,16.0
AnteriorInfarction_006,V6,1,AnteriorInfarction,-611,R,1,0.0,0,627,1,244,500,,,,,,,,,,0,2,-4.0,,5,,22,22,0.0,,,,46,43,6.0,55,72,-34.0,147,147,0.0,256,247,18.0,10.0,22.0,52.0,18.0
AnteriorInfarction_007,V3,1,AnteriorInfarction,-608,qRs,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,9,9,0.0,27,27,0.0,59,,,59,43,32.0,60,50,20.0,141,142,-2.0,240,262,-44.0,38.0,-38.0,-64.0,-42.0
AnteriorInfarction_007,I,1,AnteriorInfarction,-608,qR,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,11,11,0.0,23,23,0.0,,,,57,43,28.0,58,48,20.0,165,165,0.0,241,250,-18.0,34.0,-12.0,-38.0,-18.0
AnteriorInfarction_007,II,1,AnteriorInfarction,-608,R,1,0.0,0,637,1,247,500,,,,,,,,,,0,3,-6.0,,,,18,22,-8.0,,,,56,43,26.0,57,70,-26.0,141,141,0.0,241,170,142.0,32.0,148.0,168.0,142.0
AnteriorInfarction_007,III,1,AnteriorInfarction,-608,Rs,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,,,,14,14,0.0,29,29,0.0,57,43,28.0,58,50,16.0,141,141,0.0,243,251,-16.0,34.0,-10.0,-32.0,-16.0
AnteriorInfarction_007,aVR,1,AnteriorInfarction,-608,QS,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,23,23,0.0,,,,,,,57,43,28.0,59,70,-22.0,141,141,0.0,240,250,-20.0,34.0,-14.0,2.0,-20.0
AnteriorInfarction_007,aVL,1,AnteriorInfarction,-608,QRs,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,11,11,0.0,23,28,-10.0,48,,,55,43,24.0,57,94,-74.0,141,142,-2.0,241,250,-18.0,30.0,-12.0,56.0,-16.0
AnteriorInfarction_007,aVF,1,AnteriorInfarction,-608,R,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,,,,17,17,0.0,,31,,58,43,30.0,59,70,-22.0,141,141,0.0,241,262,-42.0,36.0,-36.0,-20.0,-42.0
AnteriorInfarction_007,V1,1,AnteriorInfarction,-608,rS,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,,22,,4,33,-58.0,21,,,57,43,28.0,59,48,22.0,149,149,0.0,242,269,-54.0,34.0,-48.0,-76.0,-54.0
AnteriorInfarction_007,V2,1,AnteriorInfarction,-608,qRs,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,10,10,0.0,28,29,-2.0,58,,,58,43,30.0,59,87,-56.0,142,143,-2.0,242,269,-54.0,36.0,-48.0,2.0,-52.0
AnteriorInfarction_007,V5,1,AnteriorInfarction,-608,qR,1,0.0,0,637,1,247,500,,,,,,,,,,0,3,-6.0,7,7,0.0,21,21,0.0,,,,57,43,28.0,58,78,-40.0,145,145,0.0,242,168,148.0,34.0,154.0,188.0,148.0
AnteriorInfarction_007,V6,1,AnteriorInfarction,-608,qR,1,0.0,0,637,1,247,500,,,,,,,,,,0,3,-6.0,6,7,-2.0,21,21,0.0,,,,57,43,28.0,58,50,16.0,145,145,0.0,243,257,-28.0,34.0,-22.0,-44.0,-28.0
AnteriorInfarction_007,V4,1,AnteriorInfarction,-608,qR,1,0.0001,0,637,1,247,500,,,,,,,,,,0,3,-6.0,9,9,0.0,25,25,0.0,,,,59,43,32.0,60,50,20.0,140,140,0.0,243,265,-44.0,38.0,-38.0,-64.0,-44.0
AnteriorInfarction_008,V2,1,AnteriorInfarction,-610,rS,1,0.0002,0,637,1,245,500,,,,,,,,,,0,2,-4.0,,,,6,7,-2.0,23,24,-2.0,58,46,24.0,60,52,16.0,144,144,0.0,250,254,-8.0,28.0,-4.0,-24.0,-8.0
AnteriorInfarction_008,I,1,AnteriorInfarction,-610,R,1,0.0002,0,637,1,245,500,,,,,,,,,,0,2,-4.0,,,,28,28,0.0,,,,57,46,22.0,58,100,-84.0,166,167,-2.0,250,252,-4.0,26.0,0.0,80.0,-2.0
AnteriorInfarction_008,II,1,AnteriorInfarction,-610,R,1,0.0001,0,637,1,245,500,,,,,,,,,,0,2,-4.0,,,,24,25,-2.0,,,,58,46,24.0,59,68,-18.0,143,143,0.0,242,246,-8.0,28.0,-4.0,10.0,-8.0
